Product Name,Price,Ratings
"Mary, Queen of Scots (Original Motion Picture Soundtrack) [Disco de Vinil]","R$262,11","4,8 de 5 estrelas"
Bankbusted Nuclear Detergent Blues [Disco de Vinil],"R$192,75",-1
Chameleon / Watermelon Man [Disco de Vinil],"R$164,19",-1
Smokin' At The Half Note [Disco de Vinil],"R$192,58","4,8 de 5 estrelas"
Meltframe [Disco de Vinil],"R$233,43",-1
The Musician [Disco de Vinil],"R$258,03","4,6 de 5 estrelas"
Paris Blues (Original Soundtrack Recording) [Disco de Vinil],"R$161,13",-1
Soul of a Nation: Jazz Is the Teacher Funk Is the,"R$231,51","4,7 de 5 estrelas"
Afro Blue [Disco de Vinil],"R$339,92","3,5 de 5 estrelas"
The Elements [Disco de Vinil],"R$194,17","4,8 de 5 estrelas"
Coltrane '58: The Prestige Recordings,"R$2.117,05","4,7 de 5 estrelas"
Dreams [Disco de Vinil],"R$332,99","5,0 de 5 estrelas"
Joni Mitchell - Love Has Many Faces. A Quartet [Disco de Vinil],"R$1.389,19","4,8 de 5 estrelas"
Love Scenes [Disco de Vinil],"R$241,45","4,0 de 5 estrelas"
All For You [Disco de Vinil],"R$231,51","4,6 de 5 estrelas"
This Is Sinatra Volume Two [Disco de Vinil],"R$185,61","5,0 de 5 estrelas"
The Girl In The Other Room [Disco de Vinil],"R$235,59","4,5 de 5 estrelas"
A Day In The Life: Impressions Of Pepper (Various Artists) [Disco de Vinil],"R$218,11","4,8 de 5 estrelas"
The Horn [Disco de Vinil],"R$255,43","3,0 de 5 estrelas"
When I Look In Your Eyes [Disco de Vinil],"R$237,63","4,5 de 5 estrelas"
Thought Gang [Disco de Vinil],"R$250,53","4,8 de 5 estrelas"
From This Moment On [Disco de Vinil],"R$234,57","4,5 de 5 estrelas"
